long,lat,alt
55.9397628521,54.7235344314,182.234069909
55.9397628521,54.7235344314,182.234069909
55.9397631035,54.7235305338,182.1336060418
55.9397619301,54.7235261333,182.3700562372
55.9397639417,54.7235248341,182.3565674677
55.9397660372,54.7235236188,182.4284973994
55.939765199,54.7235155302,182.5046692744
55.9397667916,54.723516117,182.4140320673
55.9397703958,54.7235141472,182.6442261592
55.9397788615,54.7235159493,182.3004761591
55.9397864052,54.7235231997,182.7320557491
55.9397744191,54.7235459565,182.368408288
55.9397802864,54.7235717728,182.6943970577
55.9397974694,54.7236086951,182.5072632685
55.9398335115,54.7236881136,182.2667237176
55.9398722359,54.7237686637,181.9458313835
55.9399071885,54.7238408738,181.6744080435
55.9399378662,54.7239059593,181.5375672232
55.9399697175,54.7239727211,181.4061280141
55.9400015687,54.7240374713,181.3735352407
55.9400357669,54.7241015929,181.3146363148
55.9400700488,54.7241644572,181.258636559
55.940111204,54.7242411935,180.8510437853
55.9401541193,54.7243165049,180.7014771349
55.9401948554,54.7243996534,180.2601014022
55.9402393633,54.7244835981,180.4007264023
55.940291834,54.7245803672,180.1599732284
55.940346484,54.7246825007,179.9591065291
55.9403993738,54.7247885737,179.102600181
55.9405225878,54.7248658967,178.9253540872
55.9405841948,54.7249621629,178.8113404152
55.9406371684,54.7250562498,178.1708680028
55.9406877951,54.7251499594,178.7742310402
55.9407371645,54.7252436272,177.6417847506
55.9407834326,54.7253362892,177.9753113621
55.9408293655,54.7254308789,178.1075440282
55.9408722808,54.7255252172,178.0315857762
55.9409123463,54.7256181306,178.2326966161
55.9409538367,54.7257182944,178.6469422218
55.9410121748,54.7258299832,178.2580872412
55.94107923,54.7259504312,177.9797669285
55.9411378195,54.7260653052,177.7431946628
55.941189452,54.726173767,177.1391907563
55.9412306072,54.7262706199,177.1188660492
55.9412731034,54.7263447159,176.7697449553
55.941308475,54.7264142019,176.9577942718
55.9413316091,54.7264659602,176.8235474456
55.9413462774,54.7264968475,176.6810608732
55.9413518095,54.7265050617,176.5429383146
55.9413487082,54.7265138208,176.6083680021
55.9413574254,54.7265257231,176.6451416838
55.9413709202,54.7265584964,176.7237854826
55.9413795536,54.7265946224,176.807312094
55.9413898633,54.7266434889,176.711822592
55.9414128297,54.72670782,176.9710389007
55.9414314376,54.7267678763,176.6950989592
55.9414391489,54.726802745,176.4384156095
55.9414539011,54.7268213948,176.0581055507
55.9414606904,54.7268372785,176.5268860685
55.9414637079,54.7268589457,176.6203003752
55.9414713354,54.7268913836,176.7278748381
55.9414750235,54.7269241569,176.2341309414
55.9414772866,54.7269388671,176.4113770352
55.9414867581,54.7269371488,176.3920594083
55.9414771189,54.726936604,176.0890808925
55.9414744367,54.7269396215,176.1713257656
55.9414684017,54.7269407111,176.1851197109
55.9414735147,54.7269465785,176.2108155117
55.9414759455,54.7269563434,176.0522766933
55.9414758616,54.7269640547,176.0368653163
55.9414777895,54.7269692934,176.0565186366
55.941481729,54.7269752865,175.9544373377
55.9414859199,54.7269753703,175.900238119
55.9414843274,54.7269749512,176.223449789
55.9414818966,54.7269783878,176.0929566249
55.9414780409,54.7269850514,175.593658529
55.9414722574,54.7269904577,175.7073975427
55.9414528114,54.7270049165,175.8850708826
55.9413856724,54.7270157711,176.1311035976
55.9413271667,54.7269821597,176.5040284025
55.9413110734,54.7268908807,176.2837525234
55.9413173599,54.7268133481,176.5831604826
55.9412947287,54.7267211472,177.0069275726
55.9412506399,54.7266183012,176.9128723968
55.9412040365,54.7265164611,176.353088461
55.9411731911,54.7264194406,177.1580811371
55.9411410046,54.7263362083,177.01956185
55.9410897912,54.7262614836,177.2910767427
55.9410697584,54.7261926263,176.9494324554
55.9410547548,54.7261282952,177.0615235199
55.9410462053,54.7260881459,177.1791077485
55.9410338839,54.7260528161,177.4855347506
55.9410296929,54.7260202525,177.66497811
55.9410100793,54.7259821986,177.7902832859
55.9409597879,54.7259551251,177.897552573
55.9409208958,54.7259077254,178.0462952489
55.9408895475,54.725847711,178.2178345556
55.9408552655,54.7257793566,178.4156800147
55.9408204806,54.7257047157,178.7059327004
55.9407819239,54.7256245847,179.0404969095
55.9407353205,54.7255293244,179.1867371439
55.9406839394,54.7254257241,179.6629639508
55.9406385095,54.7253317629,179.3452759624
55.9405936663,54.7252314735,179.5732117535
55.9405404412,54.725130262,179.3513489604
55.9404929159,54.7250287571,179.3469239116
55.940451174,54.7249342931,179.7220459821
55.9403957696,54.724826418,179.4685974956
55.9403362581,54.7247067244,180.0449219588
55.9402756569,54.7245853125,179.8124390485
55.9402217613,54.7244708157,179.8275757673
55.9401751579,54.7243681793,179.8403015974
55.9401298956,54.7242663392,180.0998535994
55.9400847172,54.7241689834,180.7237854845
55.940043562,54.7240774949,180.7217408068
55.9400058435,54.7239867189,181.3572083364
55.9399705557,54.7239031513,181.13992318
55.9399415543,54.7238182427,181.2565308461
55.9398769298,54.7237350942,181.595520104